rails,ecmp,static_p95,oracle
2,1.5444508235605574,1.130784231524666,1.1318195952394203
4,2.3076098776882312,1.2582811178537048,1.2415002640160142
8,3.6559684740223304,1.6107045277566387,1.531938460503782
