policy,label,normalized_time,speedup_vs_ecmp,gap_to_oracle_pct
ecmp,ECMP (oblivious),2.583667213727945,1.0,96.49171741072912
static_mean,static mean (frozen),1.3264874274783027,1.9477510002786707,0.881333077285778
static_p95,static P95 (frozen),1.4984925928204729,1.7241775008476679,13.962580600968701
static_worst,static worst (frozen),1.5167825220245672,1.7033867256588135,15.35355680004647
oracle,oracle (per-step),1.31489878951349,1.9649171741072913,0.0
