rails,ecmp,static_p95,oracle
2,1.683161194928621,1.1371908611097954,1.1445418624620223
4,2.532288611172807,1.4984925928204729,1.31489878951349
8,3.9812014440858325,1.6673104136042602,1.543302209781968
