policy,label,normalized_time,speedup_vs_ecmp,gap_to_oracle_pct
ecmp,ECMP (oblivious),2.3550857043055347,1.0,89.69675420666331
static_mean,static mean (frozen),1.2563712024783527,1.8745142356493267,1.1978199999920922
static_p95,static P95 (frozen),1.2582811178537048,1.8716689544882377,1.3516593048001244
static_worst,static worst (frozen),1.2595840110394545,1.8697329306062185,1.4566043638962145
oracle,oracle (per-step),1.2415002640160142,1.8969675420666332,0.0
