layer,raw_peak,offline_peak,offline_cost,online_global_peak_matchedcost,online_global_captured,online_global_minpeak,online_global_minpeak_cost,online_global_reaches_relief,online_global_cost_to_relief_ratio,online_local_peak_matchedcost,online_local_captured,online_local_minpeak,online_local_reaches_relief
layer_02,1.463872,1.049984,17.321456909179688,1.4616,0.005489407762486595,1.000032,373.08551025390625,True,5.801724661925564,1.461696,0.005257460955620737,1.000096,True
layer_03,1.280384,1.049984,15.275558471679688,1.279264,0.004861111111111155,1.000032,993.6542205810547,True,4.047771499122464,1.279264,0.004861111111111155,1.000128,True
layer_04,1.34096,1.049984,68.76736450195312,1.236576,0.3587374903772135,1.000032,1235.309555053711,True,5.2942227837517954,1.237376,0.35598812273177144,1.000064,True
layer_05,1.184864,1.049984,24.349151611328125,1.112288,0.5380782918149468,1.000032,4209.363800048828,True,3.3897926111047747,1.123904,0.45195729537366514,1.000064,True
layer_06,1.23584,1.049984,49.2950439453125,1.162272,0.3958333333333337,1.000064,5591.0972900390625,True,5.499692317216616,1.17216,0.3426308539944901,1.00016,True
layer_07,1.206688,1.049984,93.26046752929688,1.124416,0.5250153154992848,1.000032,6635.970748901367,True,5.208210254129718,1.135392,0.4549724321012868,1.00016,True
layer_08,1.204608,1.049984,62.16748046875,1.141248,0.40976821192052926,1.000032,2612.7398071289062,True,4.061009648991902,1.151904,0.34085264900662193,1.00016,True
layer_09,1.179264,1.049984,44.989105224609375,1.129312,0.3863861386138612,1.000032,4382.287338256836,True,6.068136477812079,1.132544,0.36138613861386193,1.000064,True
