layer,initial_peak_ratio,floor_peak_ratio,excess_removed_at_floor_pct,total_frac_moved_pct,total_avg_score_loss_per_token
layer_02,2.356608,1.066752,95.07949238099731,21.7696,0.0005445113525390625
layer_03,1.977856,1.019008,98.0561555075594,15.7016,0.00098804052734375
layer_04,2.702336,1.068544,95.97353283958044,13.9452,0.002285927490234375
layer_05,2.26624,1.041408,96.72984584281022,14.9804,0.002555094421386719
layer_06,2.267904,1.082112,93.52379990914139,11.7254,0.002263319091796875
layer_07,2.140544,1.038976,96.58268335110265,15.863199999999999,0.0047422977294921875
layer_08,2.246272,1.112576,90.96697992091613,13.012599999999999,0.0030258675537109376
layer_09,1.836544,1.279104,66.63606457042307,3.5144,0.0009552958068847656
