policy,matrix_overflow_ratio,matrix_frac_flows_overflow,matrix_waste_ratio,link_overflow_ratio,link_frac_flows_overflow,link_waste_ratio
mean,0.02415228658536585,0.4755859375,0.024152286585365855,0.02401762825469181,0.4787946428571429,0.023815307037004955
P90,0.009313826219512196,0.298828125,0.04676257103208578,0.009180194077646281,0.2957589285714286,0.04626899666198851
P95,0.008589965701219513,0.28466796875,0.05056265191645077,0.008473567833515237,0.28125,0.05005117884645442
P99,0.008051536204268293,0.27587890625,0.05361364195278975,0.00795105761837245,0.2728794642857143,0.053090092466280076
worst,0.007921532012195122,0.2744140625,0.05437690599434405,0.007825225685237264,0.2712053571428571,0.053850539755595894
