checkpoint,matrix_cosine_vs_final,matrix_norm_l1_vs_final,rank1_residual
540,0.9991270554676139,0.03306033333333333,0.031019733352082357
1080,0.999431202313768,0.02486633333333333,0.02947862045434473
1620,0.9997034128818398,0.018522166666666662,0.030128127224893702
2160,0.999696038632114,0.0186195,0.029015005064823837
2700,0.9996340246549269,0.0203295,0.02877367985211938
3240,0.9997140752009951,0.016961499999999997,0.03049080888811482
3780,0.9996641203489252,0.017636833333333334,0.028904911176306912
4320,0.9997968869203293,0.01586833333333334,0.030076067503360733
4860,0.999594937081811,0.019123833333333333,0.029986780698531768
5400,0.9999337923851424,0.007407833333333332,0.02917448457313689
5473,1.0,0.0,0.029315539108901896
