placement,sharding,first_ckpt_matrix_cosine_vs_final,final_rank1_residual,final_fabric_max_over_mean
contiguous,contiguous,0.999127055467614,0.029315539108901896,1.0897655889485176
roundrobin,contiguous,0.999474563734596,0.029938437038558433,1.0754565881543905
random,contiguous,0.9990508839256342,0.03139829140106201,1.0844116858173383
contiguous,strided,0.9991032808557938,0.03278395990288967,1.0926962899818622
