policy,matrix_overflow_ratio,matrix_frac_flows_overflow,matrix_waste_ratio,link_overflow_ratio,link_frac_flows_overflow,link_waste_ratio
mean,0.008053919999999997,0.507421875,0.008053920000000001,0.008061908411563483,0.5066964285714286,0.008020783745979431
P90,0.0022439833333333325,0.20625,0.020137034335505493,0.0021863914984545933,0.20580357142857145,0.02010521237351834
P95,0.0018234399999999997,0.1765625,0.022264945403626953,0.0017490881431251372,0.17410714285714285,0.02224570075321864
P99,0.0015766626666666665,0.1515625,0.024043493723661304,0.0014985261523782095,0.14866071428571428,0.024043342273575633
worst,0.0015263166666666668,0.147265625,0.0244976136194386,0.0014474182352848077,0.14464285714285713,0.024502350824628573
