placement,sharding,first_ckpt_matrix_cosine_vs_final,final_rank1_residual,final_fabric_max_over_mean
contiguous,contiguous,0.9924188110383029,0.053163839193118456,1.2488569707816515
roundrobin,contiguous,0.9918823478966206,0.05313400776666945,1.2915491174265057
random,contiguous,0.9915855834450094,0.05580281468254724,1.2780027582674593
contiguous,strided,0.9932532159368566,0.004612187348755887,1.1813798449762904
