checkpoint,matrix_cosine_vs_final,matrix_norm_l1_vs_final,rank1_residual
5000,0.9924188110383029,0.0963314024390244,0.03847281997022648
120000,0.9981035483443492,0.048185594512195125,0.046259197540227184
245000,0.9990363335292949,0.03342469512195122,0.04866580980548564
490000,0.9995938403397866,0.02271074695121951,0.05161054658282117
final,1.0,0.0,0.053163839193118456
