checkpoint,fabric_max_over_mean,fabric_hot_overlap_vs_final,uplink_max_over_mean,uplink_hot_overlap_vs_final
5000,1.284198302275411,0.5267857142857143,1.0401445538490335,0.875
120000,1.2446376409883368,0.7053571428571429,1.0265415024287254,0.875
245000,1.2503102261874885,0.8035714285714286,1.029938324927474,0.9375
490000,1.2616043375263026,0.8883928571428571,1.0298036166218163,0.875
final,1.2488569707816515,1.0,1.0287221235556347,1.0
