alpha,rank1_residual,matrix_cosine_vs_final,ecmp_time,volume_plan_time,matrix_plan_time,oracle_time,matrix_vs_volume_gain_pct
0.0,0.0049130827054677285,0.9998248292267817,2.337280174385219,1.170353118544873,1.2526076704692222,1.1762018178777676,-7.0281824024716695
0.25,0.06244669741238916,0.999811558482743,2.341073478056893,1.2158719912604676,1.1797826442896175,1.1925827234611337,2.9681863905292416
0.5,0.12341088646520873,0.999773783769945,2.302282172905479,1.2273143170565584,1.200379944823839,1.1627583535250197,2.1945781824916257
0.75,0.181279087810437,0.9997165153057614,2.267675607596097,1.2900097085435358,1.1704339560741581,1.1315556955241175,9.269368414628655
1.0,0.23607322920361323,0.9996423126732776,2.236737777200555,1.3380849390621632,1.1977424680980084,1.1312646103765114,10.48830809369381
