alpha,rank1_residual,matrix_cosine_vs_final,ecmp_time,volume_plan_time,matrix_plan_time,oracle_time,matrix_vs_volume_gain_pct,model
0.0,0.005158941472618211,0.9998104069702979,2.574433186117949,1.3844002865612672,1.442137025959614,1.3472813527564425,-4.170523508179844,flame-290m
0.25,0.09685499140631629,0.9998058120353285,2.5663784613553635,1.2992058782019038,1.3835490633274454,1.3361669575097708,-6.491902980170647,flame-290m
0.5,0.1906039630772139,0.9997925907954034,2.519490519264375,1.4695588926523997,1.337751650155221,1.3220972342987505,8.969170487565867,flame-290m
0.75,0.2783170795643698,0.9997692388814627,2.491961983237742,1.5217134217501609,1.2991186739656655,1.2716196822772228,14.627901982259155,flame-290m
1.0,0.3593563439165394,0.9997418351182485,2.472515706542782,1.6114023979853875,1.278333288144936,1.2680354643482616,20.669518070524294,flame-290m
0.0,0.0049130827054677285,0.9998248292267817,2.337280174385219,1.170353118544873,1.2526076704692222,1.1762018178777676,-7.0281824024716695,olmoe-1b-7b
0.25,0.06244669741238916,0.999811558482743,2.341073478056893,1.2158719912604676,1.1797826442896175,1.1925827234611337,2.9681863905292416,olmoe-1b-7b
0.5,0.12341088646520873,0.999773783769945,2.302282172905479,1.2273143170565584,1.200379944823839,1.1627583535250197,2.1945781824916257,olmoe-1b-7b
0.75,0.181279087810437,0.9997165153057614,2.267675607596097,1.2900097085435358,1.1704339560741581,1.1315556955241175,9.269368414628655,olmoe-1b-7b
1.0,0.23607322920361323,0.9996423126732776,2.236737777200555,1.3380849390621632,1.1977424680980084,1.1312646103765114,10.48830809369381,olmoe-1b-7b
