checkpoint,volume_cosine_vs_final,volume_norm_l1_vs_final,routing_top8_overlap_vs_final
5000,0.9490101441927918,0.2476044969512195,0.5140314024390245
120000,0.985129334824432,0.12700556402439023,0.6933836890243903
245000,0.9923939511385234,0.0927217225609756,0.7586948932926829
490000,0.9967408082884848,0.0636298780487805,0.8254875381097561
final,1.0,0.0,1.0
