checkpoint,layer,top1_match_rate,top8_overlap
5000,0,0.07753658536585366,0.14516158536585366
5000,1,0.21069268292682927,0.3006548780487805
5000,2,0.3414341463414634,0.44300548780487803
5000,3,0.30986341463414635,0.48330243902439024
5000,4,0.26695121951219514,0.48761829268292683
5000,5,0.25358536585365854,0.4710939024390244
5000,6,0.2057268292682927,0.480359756097561
5000,7,0.26607317073170733,0.5302329268292683
5000,8,0.2645707317073171,0.5445853658536586
5000,9,0.3234878048780488,0.5954603658536586
5000,10,0.3842829268292683,0.6517280487804878
5000,11,0.35629268292682925,0.621215243902439
5000,12,0.39701951219512194,0.6394426829268293
5000,13,0.36669756097560974,0.629809756097561
5000,14,0.4033707317073171,0.6366280487804878
5000,15,0.29490243902439023,0.5642036585365854
120000,0,0.2128829268292683,0.40548353658536584
120000,1,0.5066146341463414,0.5355481707317074
120000,2,0.5219073170731707,0.6255146341463415
120000,3,0.524219512195122,0.6544036585365853
120000,4,0.48592682926829267,0.660584756097561
120000,5,0.44659512195121953,0.6405548780487805
120000,6,0.43829756097560973,0.6665487804878049
120000,7,0.46960975609756095,0.6921487804878049
120000,8,0.46377560975609755,0.7047384146341463
120000,9,0.5044634146341463,0.7449286585365854
120000,10,0.5762585365853659,0.7930719512195122
120000,11,0.5695073170731707,0.7847030487804878
120000,12,0.6033317073170732,0.8055353658536586
120000,13,0.6105317073170732,0.8060530487804878
120000,14,0.6101463414634146,0.8131426829268292
120000,15,0.5137560975609756,0.7611786585365854
245000,0,0.3991170731707317,0.5837085365853658
245000,1,0.6085658536585365,0.6276682926829268
245000,2,0.6073317073170732,0.7044792682926829
245000,3,0.6113658536585366,0.7271957317073171
245000,4,0.5753268292682927,0.7285109756097561
245000,5,0.5356487804878048,0.7173621951219512
245000,6,0.532180487804878,0.7327298780487805
245000,7,0.5539658536585366,0.7551274390243903
245000,8,0.5499365853658537,0.7635634146341463
245000,9,0.5773707317073171,0.791829268292683
245000,10,0.6289463414634147,0.8323195121951219
245000,11,0.6352487804878049,0.827875
245000,12,0.662580487804878,0.8445182926829268
245000,13,0.6731268292682927,0.8412298780487805
245000,14,0.6635658536585366,0.847335975609756
245000,15,0.5865414634146342,0.8136646341463415
490000,0,0.6428926829268292,0.7440274390243903
490000,1,0.725619512195122,0.7328670731707317
490000,2,0.7004146341463414,0.7819670731707317
490000,3,0.694809756097561,0.7940463414634147
490000,4,0.6644097560975609,0.800659756097561
490000,5,0.6501463414634147,0.8001439024390243
490000,6,0.635809756097561,0.8101079268292682
490000,7,0.646019512195122,0.8209201219512196
490000,8,0.6334195121951219,0.8300835365853658
490000,9,0.6616146341463415,0.8497439024390244
490000,10,0.702639024390244,0.8743871951219512
490000,11,0.6984731707317073,0.8692682926829268
490000,12,0.7200878048780488,0.8817231707317074
490000,13,0.7260390243902439,0.8744810975609756
490000,14,0.7171317073170732,0.8801762195121952
490000,15,0.6810878048780488,0.8631975609756097
