layer,max_over_mean,gini,top8_traffic_share_pct,n_experts_used
0,2.9745951219512197,0.1393673399390244,19.638353658536584,64
1,1.549580487804878,0.11224933307926832,17.43439024390244,64
2,1.7357268292682926,0.14646934070121953,18.567560975609755,64
3,3.142439024390244,0.19708639481707313,21.601646341463415,64
4,2.995668292682927,0.20200950838414633,22.1190243902439,64
5,2.0109658536585364,0.17639828506097566,19.4465243902439,64
6,3.237151219512195,0.21996573932926833,23.381829268292684,64
7,2.461892682926829,0.2032511242378049,21.455365853658538,64
8,2.2641951219512193,0.16787749618902437,20.067743902439023,64
9,1.8497560975609757,0.16653932926829274,18.229512195121952,64
10,1.8135024390243903,0.1745628429878049,19.073109756097562,64
11,1.9893073170731708,0.19629009146341458,19.426951219512194,64
12,1.8769560975609756,0.20104807545731707,20.17798780487805,64
13,2.105990243902439,0.21844422637195127,21.172134146341463,64
14,1.899239024390244,0.21515344893292687,20.623536585365855,64
15,2.44390243902439,0.28088553734756094,23.03439024390244,64
