checkpoint,layer,mean_margin,pct_below_0.03
540,layer_02,0.023975205947875975,78.586
540,layer_06,0.08631802865600587,38.6836
540,layer_09,0.12271402633666992,26.0956
1080,layer_02,0.017682827556610107,83.62
1080,layer_06,0.09640326786804199,31.609199999999998
1080,layer_09,0.11767585917663574,25.6828
1620,layer_02,0.015781368728637696,85.47240000000001
1620,layer_06,0.09691464819335938,30.3504
1620,layer_09,0.11370985412216186,26.4424
2160,layer_02,0.012986728790283203,88.36359999999999
2160,layer_06,0.08825648284912109,31.8436
2160,layer_09,0.10320089569091796,28.648400000000002
2700,layer_02,0.01177039956665039,89.6748
2700,layer_06,0.08380017837524414,32.618399999999994
2700,layer_09,0.09641604359436035,30.609199999999998
3240,layer_02,0.010969914154052735,91.128
3240,layer_06,0.08094272854614258,32.994800000000005
3240,layer_09,0.09296509873580933,31.497999999999998
3780,layer_02,0.010100108932495118,92.3072
3780,layer_06,0.07852064910888672,33.556799999999996
3780,layer_09,0.0895293872680664,32.5544
4320,layer_02,0.009923769622802734,92.64320000000001
4320,layer_06,0.07533939813232422,33.988
4320,layer_09,0.0864358087234497,33.6016
4860,layer_02,0.009692352416992187,93.0452
4860,layer_06,0.07295867321777344,34.733999999999995
4860,layer_09,0.08295066959381103,34.669200000000004
5400,layer_02,0.009720801406860352,93.3096
5400,layer_06,0.06909607958984375,35.762
5400,layer_09,0.0809778536529541,35.1792
5473,layer_02,0.009807248168945312,93.2024
5473,layer_06,0.06879962503051758,36.026799999999994
5473,layer_09,0.08097226916503907,35.248400000000004
