layer,n_tokens,mean_margin,median_margin,p95_margin,pct_below_0.03
layer_02,500000,0.00957524658203125,0.0034942626953125,0.035308837890625,93.3228
layer_03,500000,0.03501251756286621,0.01605224609375,0.13458251953125,66.548
layer_04,500000,0.04872506991577148,0.03045654296875,0.1585098266601559,49.5148
layer_05,500000,0.06564671841430664,0.04376220703125,0.20391845703125,38.048
layer_06,500000,0.0689826993560791,0.04656982421875,0.21209716796875,36.0248
layer_07,500000,0.08138825704956054,0.05615234375,0.2388916015625,31.1794
layer_08,500000,0.08037172190856934,0.0517578125,0.2552490234375,33.1882
layer_09,500000,0.08272946453857422,0.04937744140625,0.27813720703125,34.7376
