model,n_layers,pct_margin_below_0.03,pct_margin_below_0.05,mean_margin,mean_gini_top6_membership,mean_primary_top1_peak,mean_pct_excess_removed
flame-moe-290m,8,47.95175,62.134750000000004,0.05867889604187012,0.026317205729166654,2.2546559999999998,91.75406508152018
flame-moe-721m,11,49.891490909090905,64.5761090909091,0.055921262608961624,0.02743117045454543,2.318312727272727,92.0702689336721
flame-moe-1.7b,17,46.22705882352941,60.34343529411764,0.0649491878969529,0.02142463480392157,2.3391623529411767,95.96133484524567
