model,checkpoint,progress,volume_cosine_vs_final,volume_norm_l1_vs_final,routing_top1_match,routing_top6_overlap
flame-moe-290m,540,0.09866617942627444,0.9956232764590386,0.06928483333333334,0.4721195,0.5814779166666667
flame-moe-290m,1080,0.19733235885254888,0.996901127019501,0.05701433333333333,0.5744385,0.6740156666666667
flame-moe-290m,1620,0.29599853827882333,0.9978723023614671,0.04786599999999999,0.6341735,0.72024575
flame-moe-290m,2160,0.39466471770509776,0.9975825693436611,0.04668233333333334,0.6729069999999999,0.75136775
flame-moe-290m,2700,0.4933308971313722,0.9964320840792822,0.05347383333333333,0.7065755,0.7763055000000001
flame-moe-290m,3240,0.5919970765576467,0.9972419485356632,0.04955266666666667,0.7350734999999999,0.7979949166666667
flame-moe-290m,3780,0.6906632559839211,0.9966594305653261,0.05139183333333333,0.7577395,0.8167945000000001
flame-moe-290m,4320,0.7893294354101955,0.9972099605065211,0.04638283333333334,0.7834300000000001,0.83412925
flame-moe-290m,4860,0.8879956148364699,0.9973523121322718,0.046264,0.8086695,0.8555761666666668
flame-moe-290m,5400,0.9866617942627444,0.9993815251678925,0.021620666666666673,0.935705,0.9504899166666667
flame-moe-290m,5473,1.0,1.0,0.0,1.0,1.0
flame-moe-721m,880,0.09982983550765741,0.995791295791662,0.06801212121212122,0.46121709090909097,0.5589313939393941
flame-moe-721m,1760,0.19965967101531482,0.9956836590422437,0.06380690909090908,0.5467210909090908,0.6339666666666667
flame-moe-721m,2640,0.2994895065229722,0.995430912167063,0.060833090909090906,0.603248,0.6804533939393941
flame-moe-721m,3520,0.39931934203062963,0.9968098697617008,0.053748727272727274,0.6440647272727272,0.7168537575757575
flame-moe-721m,4400,0.499149177538287,0.9953992501748502,0.060616606060606065,0.6860232727272727,0.7512495151515151
flame-moe-721m,5280,0.5989790130459444,0.9950027554108513,0.05952242424242424,0.7148683636363636,0.777213696969697
flame-moe-721m,6160,0.6988088485536018,0.9972804794051586,0.047260606060606065,0.7488690909090909,0.8057333333333333
flame-moe-721m,7040,0.7986386840612593,0.9966165793302195,0.05002593939393939,0.770873090909091,0.8240701818181818
flame-moe-721m,7920,0.8984685195689166,0.9950435586723713,0.05513139393939393,0.798721818181818,0.8477435151515152
flame-moe-721m,8800,0.998298355076574,0.999019321696813,0.024525454545454548,0.9617345454545455,0.9688889090909093
flame-moe-721m,8815,1.0,1.0,0.0,1.0,1.0
flame-moe-1.7b,1100,0.09973705685012241,0.9956310932191181,0.06995356862745097,0.39599811764705883,0.4789959607843137
flame-moe-1.7b,2200,0.19947411370024482,0.9958891718530896,0.06306086274509803,0.4953708235294117,0.5681923921568627
flame-moe-1.7b,3300,0.2992111705503672,0.402592738156045,1.4517697254901962,0.029287529411764705,0.12273650980392156
flame-moe-1.7b,4400,0.39894822740048963,0.9957167874406749,0.05820776470588235,0.6382014117647058,0.7020454509803922
flame-moe-1.7b,5500,0.49868528425061204,0.9980064584484092,0.04488541176470588,0.6669472941176471,0.7296245098039217
flame-moe-1.7b,6600,0.5984223411007344,0.9965539322918453,0.054065254901960784,0.7128444705882352,0.7654399215686274
flame-moe-1.7b,7700,0.6981593979508568,0.9963066106559173,0.055235058823529415,0.7309875294117647,0.7828418431372549
flame-moe-1.7b,8800,0.7978964548009793,0.996300999651013,0.055073568627450976,0.7528884705882352,0.8002282352941177
flame-moe-1.7b,9900,0.8976335116511016,0.9955740827568953,0.057118588235294115,0.7794691764705883,0.8249431764705882
flame-moe-1.7b,11000,0.9973705685012241,0.9992327388409101,0.024772235294117647,0.9510072941176472,0.9564944705882352
flame-moe-1.7b,11029,1.0,1.0,0.0,1.0,1.0
