checkpoint,top1_match_rate,top6_overlap
540,0.4721195,0.5814779166666667
1080,0.5744385,0.6740156666666667
1620,0.6341735000000001,0.72024575
2160,0.672907,0.75136775
2700,0.7065755,0.7763055000000001
3240,0.7350734999999999,0.7979949166666667
3780,0.7577395,0.8167945000000001
4320,0.7834300000000001,0.83412925
4860,0.8086695,0.8555761666666667
5400,0.935705,0.9504899166666667
5473,1.0,1.0
