layer,expert_id,traffic_share_pct
layer_02,0,1.4792
layer_02,1,1.4693666666666667
layer_02,2,1.5801666666666667
layer_02,3,1.6188333333333333
layer_02,4,1.5266666666666666
layer_02,5,1.5726
layer_02,6,1.5081
layer_02,7,1.6939333333333333
layer_02,8,1.4416333333333333
layer_02,9,1.6061333333333334
layer_02,10,1.5784333333333334
layer_02,11,1.5117333333333334
layer_02,12,1.5169333333333332
layer_02,13,1.5564666666666667
layer_02,14,1.6303333333333334
layer_02,15,1.6611333333333334
layer_02,16,1.5511333333333333
layer_02,17,1.4957333333333334
layer_02,18,1.5648333333333333
layer_02,19,1.5338
layer_02,20,1.5097666666666667
layer_02,21,1.5446666666666666
layer_02,22,1.5242666666666667
layer_02,23,1.4580666666666666
layer_02,24,1.5729666666666666
layer_02,25,1.6429
layer_02,26,1.4411
layer_02,27,1.3950333333333333
layer_02,28,1.4826333333333332
layer_02,29,1.5247
layer_02,30,1.4103
layer_02,31,1.5496
layer_02,32,1.7314666666666667
layer_02,33,1.5992333333333333
layer_02,34,1.6292333333333333
layer_02,35,1.4972666666666667
layer_02,36,1.5589666666666666
layer_02,37,1.6067333333333333
layer_02,38,1.6025333333333334
layer_02,39,1.5871666666666666
layer_02,40,1.6007
layer_02,41,1.5796
layer_02,42,1.4856666666666667
layer_02,43,1.5222333333333333
layer_02,44,1.5538
layer_02,45,1.6478666666666666
layer_02,46,1.5796
layer_02,47,1.5988333333333333
layer_02,48,1.6382333333333334
layer_02,49,1.5535
layer_02,50,1.4554333333333334
layer_02,51,1.6840333333333333
layer_02,52,1.5164333333333333
layer_02,53,1.434
layer_02,54,1.6564
layer_02,55,1.6347666666666667
layer_02,56,1.8150333333333333
layer_02,57,1.5233333333333334
layer_02,58,1.5838
layer_02,59,1.7019
layer_02,60,1.4911666666666668
layer_02,61,1.6757333333333333
layer_02,62,1.6181666666666668
layer_02,63,1.484
layer_03,0,1.5749666666666666
layer_03,1,1.6166
layer_03,2,1.5642
layer_03,3,1.5642666666666667
layer_03,4,1.5924666666666667
layer_03,5,1.5741
layer_03,6,1.5144666666666666
layer_03,7,1.5409666666666666
layer_03,8,1.6072
layer_03,9,1.584
layer_03,10,1.5350333333333332
layer_03,11,1.5434333333333334
layer_03,12,1.5705
layer_03,13,1.4951
layer_03,14,1.5924
layer_03,15,1.5641
layer_03,16,1.5601333333333334
layer_03,17,1.5378333333333334
layer_03,18,1.6256333333333333
layer_03,19,1.5645333333333333
layer_03,20,1.5021666666666667
layer_03,21,1.5575333333333334
layer_03,22,1.4968666666666666
layer_03,23,1.5366666666666666
layer_03,24,1.5487666666666666
layer_03,25,1.6339
layer_03,26,1.6220666666666668
layer_03,27,1.6598666666666666
layer_03,28,1.5601333333333334
layer_03,29,1.4940666666666667
layer_03,30,1.6047333333333333
layer_03,31,1.5256
layer_03,32,1.5067333333333333
layer_03,33,1.6015
layer_03,34,1.5794
layer_03,35,1.5688666666666666
layer_03,36,1.4953666666666667
layer_03,37,1.597
layer_03,38,1.5446333333333333
layer_03,39,1.5627333333333333
layer_03,40,1.5411
layer_03,41,1.4845333333333333
layer_03,42,1.5428
layer_03,43,1.5567333333333333
layer_03,44,1.6072
layer_03,45,1.6109666666666667
layer_03,46,1.5479666666666667
layer_03,47,1.5064
layer_03,48,1.6528666666666667
layer_03,49,1.5244333333333333
layer_03,50,1.5202666666666667
layer_03,51,1.5139
layer_03,52,1.6006333333333334
layer_03,53,1.6508
layer_03,54,1.5545333333333333
layer_03,55,1.6508666666666667
layer_03,56,1.5824666666666667
layer_03,57,1.5768333333333333
layer_03,58,1.568
layer_03,59,1.5433666666666668
layer_03,60,1.4994666666666667
layer_03,61,1.6258
layer_03,62,1.4752
layer_03,63,1.5423333333333333
layer_04,0,1.5763333333333334
layer_04,1,1.5164
layer_04,2,1.5652
layer_04,3,1.5656333333333334
layer_04,4,1.4658666666666667
layer_04,5,1.4797333333333333
layer_04,6,1.6553333333333333
layer_04,7,1.6226333333333334
layer_04,8,1.6376666666666666
layer_04,9,1.4906666666666666
layer_04,10,1.5756333333333334
layer_04,11,1.6241
layer_04,12,1.5210333333333332
layer_04,13,1.5227666666666666
layer_04,14,1.5721666666666667
layer_04,15,1.5953333333333333
layer_04,16,1.5764666666666667
layer_04,17,1.4995
layer_04,18,1.5804666666666667
layer_04,19,1.5720333333333334
layer_04,20,1.4949
layer_04,21,1.5440333333333334
layer_04,22,1.5640333333333334
layer_04,23,1.5684333333333333
layer_04,24,1.6062
layer_04,25,1.5961333333333334
layer_04,26,1.5132
layer_04,27,1.6128666666666667
layer_04,28,1.5362666666666667
layer_04,29,1.4649666666666668
layer_04,30,1.5556666666666668
layer_04,31,1.5592
layer_04,32,1.6176666666666666
layer_04,33,1.5582333333333334
layer_04,34,1.5573666666666666
layer_04,35,1.5135
layer_04,36,1.5326333333333333
layer_04,37,1.6362666666666668
layer_04,38,1.5568333333333333
layer_04,39,1.6077
layer_04,40,1.5434
layer_04,41,1.6747
layer_04,42,1.5068333333333332
layer_04,43,1.5561
layer_04,44,1.5727666666666666
layer_04,45,1.5904666666666667
layer_04,46,1.5434333333333334
layer_04,47,1.4995333333333334
layer_04,48,1.6511
layer_04,49,1.5931666666666666
layer_04,50,1.597
layer_04,51,1.5564666666666667
layer_04,52,1.5627333333333333
layer_04,53,1.5202
layer_04,54,1.5658333333333334
layer_04,55,1.5217666666666667
layer_04,56,1.5258
layer_04,57,1.5699333333333334
layer_04,58,1.5787333333333333
layer_04,59,1.5851333333333333
layer_04,60,1.6138333333333332
layer_04,61,1.5118333333333334
layer_04,62,1.5973666666666666
layer_04,63,1.5508
layer_05,0,1.6259666666666666
layer_05,1,1.5804666666666667
layer_05,2,1.6163333333333334
layer_05,3,1.4782333333333333
layer_05,4,1.6485333333333334
layer_05,5,1.5896666666666666
layer_05,6,1.5848
layer_05,7,1.5886333333333333
layer_05,8,1.4970666666666668
layer_05,9,1.58
layer_05,10,1.5328
layer_05,11,1.5327666666666666
layer_05,12,1.5417
layer_05,13,1.5091
layer_05,14,1.5704333333333333
layer_05,15,1.5821
layer_05,16,1.6347333333333334
layer_05,17,1.5956333333333332
layer_05,18,1.5442666666666667
layer_05,19,1.5891
layer_05,20,1.5484
layer_05,21,1.5778
layer_05,22,1.5349666666666666
layer_05,23,1.4919666666666667
layer_05,24,1.5716666666666668
layer_05,25,1.5100333333333333
layer_05,26,1.5737666666666668
layer_05,27,1.5548666666666666
layer_05,28,1.5419333333333334
layer_05,29,1.576
layer_05,30,1.5630333333333333
layer_05,31,1.5418
layer_05,32,1.5823
layer_05,33,1.5458666666666667
layer_05,34,1.6137333333333332
layer_05,35,1.5310666666666666
layer_05,36,1.5052
layer_05,37,1.5365
layer_05,38,1.4618
layer_05,39,1.6089666666666667
layer_05,40,1.5354
layer_05,41,1.5708
layer_05,42,1.5895
layer_05,43,1.5735666666666666
layer_05,44,1.5888666666666666
layer_05,45,1.6838333333333333
layer_05,46,1.6028
layer_05,47,1.5561666666666667
layer_05,48,1.4571333333333334
layer_05,49,1.4910333333333334
layer_05,50,1.5342666666666667
layer_05,51,1.5981666666666667
layer_05,52,1.5731333333333333
layer_05,53,1.5170666666666666
layer_05,54,1.6412333333333333
layer_05,55,1.5153666666666668
layer_05,56,1.5828666666666666
layer_05,57,1.5045666666666666
layer_05,58,1.5308666666666666
layer_05,59,1.6631666666666667
layer_05,60,1.5589333333333333
layer_05,61,1.571
layer_05,62,1.6262
layer_05,63,1.5400666666666667
layer_06,0,1.5667333333333333
layer_06,1,1.5522666666666667
layer_06,2,1.5239
layer_06,3,1.5059666666666667
layer_06,4,1.5403666666666667
layer_06,5,1.5637333333333334
layer_06,6,1.6968
layer_06,7,1.5684666666666667
layer_06,8,1.5161
layer_06,9,1.5733666666666666
layer_06,10,1.6505333333333334
layer_06,11,1.6005
layer_06,12,1.5303
layer_06,13,1.5557
layer_06,14,1.5649333333333333
layer_06,15,1.5352666666666666
layer_06,16,1.5677333333333334
layer_06,17,1.5420333333333334
layer_06,18,1.5663333333333334
layer_06,19,1.5518333333333334
layer_06,20,1.5637
